Covariates r2 on val: 0.26002513063777966
After epoch 0: Train loss: 19603.10123, Validation loss: 19253.74998, Train r2: 0.26167, Val r2: 0.26004, Epoch time: 11.93s
After epoch 1: Train loss: 19608.4234, Validation loss: 19254.9892, Train r2: 0.2616, Val r2: 0.25995, Epoch time: 11.48s
After epoch 2: Train loss: 19606.88998, Validation loss: 19255.17226, Train r2: 0.26162, Val r2: 0.25993, Epoch time: 11.45s
After epoch 3: Train loss: 19605.73631, Validation loss: 19254.28237, Train r2: 0.26164, Val r2: 0.26, Epoch time: 11.51s
After epoch 4: Train loss: 19612.04192, Validation loss: 19253.87277, Train r2: 0.26165, Val r2: 0.26004, Epoch time: 11.51s
After epoch 5: Train loss: 19618.26088, Validation loss: 19253.32528, Train r2: 0.26165, Val r2: 0.26008, Epoch time: 11.62s
After epoch 6: Train loss: 19605.65579, Validation loss: 19253.49623, Train r2: 0.26165, Val r2: 0.26007, Epoch time: 11.53s
After epoch 7: Train loss: 19605.64055, Validation loss: 19253.94274, Train r2: 0.26167, Val r2: 0.26003, Epoch time: 11.58s
After epoch 8: Train loss: 19605.97315, Validation loss: 19253.99425, Train r2: 0.26166, Val r2: 0.26003, Epoch time: 11.59s
After epoch 9: Train loss: 19610.00383, Validation loss: 19253.75705, Train r2: 0.26165, Val r2: 0.26004, Epoch time: 11.59s
After epoch 10: Train loss: 19611.65686, Validation loss: 19253.58636, Train r2: 0.26164, Val r2: 0.26006, Epoch time: 12.02s
After epoch 11: Train loss: 19600.5238, Validation loss: 19253.59585, Train r2: 0.26164, Val r2: 0.26005, Epoch time: 11.6s
After epoch 12: Train loss: 19612.453, Validation loss: 19253.74893, Train r2: 0.26165, Val r2: 0.26005, Epoch time: 11.65s
After epoch 13: Train loss: 19603.19301, Validation loss: 19253.65027, Train r2: 0.26164, Val r2: 0.26005, Epoch time: 11.75s
After epoch 14: Train loss: 19602.5399, Validation loss: 19253.82493, Train r2: 0.26165, Val r2: 0.26004, Epoch time: 11.64s
After epoch 15: Train loss: 19600.51234, Validation loss: 19253.80434, Train r2: 0.26165, Val r2: 0.26004, Epoch time: 11.61s
After epoch 16: Train loss: 19606.35927, Validation loss: 19253.84473, Train r2: 0.26165, Val r2: 0.26004, Epoch time: 11.63s
After epoch 17: Train loss: 19601.44257, Validation loss: 19253.64824, Train r2: 0.26166, Val r2: 0.26005, Epoch time: 11.63s
After epoch 18: Train loss: 19610.15608, Validation loss: 19253.75653, Train r2: 0.26166, Val r2: 0.26004, Epoch time: 11.65s
After epoch 19: Train loss: 19604.85718, Validation loss: 19253.61206, Train r2: 0.26165, Val r2: 0.26006, Epoch time: 11.63s
After epoch 20: Train loss: 19615.38633, Validation loss: 19253.68821, Train r2: 0.26164, Val r2: 0.26005, Epoch time: 11.69s
After epoch 21: Train loss: 19605.61274, Validation loss: 19254.00793, Train r2: 0.26164, Val r2: 0.26002, Epoch time: 11.72s
After epoch 22: Train loss: 19599.57618, Validation loss: 19253.84275, Train r2: 0.26164, Val r2: 0.26004, Epoch time: 11.72s
After epoch 23: Train loss: 19605.07548, Validation loss: 19254.07591, Train r2: 0.26164, Val r2: 0.26, Epoch time: 11.66s
After epoch 24: Train loss: 19605.60752, Validation loss: 19253.58554, Train r2: 0.26165, Val r2: 0.26005, Epoch time: 11.69s
